window_size,forecast_lag_min,input_start,input_end,coeff_setting,max_available_coeffs,effective_coeffs,train_accuracy,train_f1,train_precision,train_recall,train_tss,train_hss,train_css,val_accuracy,val_f1,val_precision,val_recall,val_tss,val_hss,val_css,test_accuracy,test_f1,test_precision,test_recall,test_tss,test_hss,test_css
360,5,355,715,47,181,47,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9794661190965092,0.8734177215189873,0.8846153846153846,0.8625,0.8524328859060404,0.8622464854467796,0.7752808988764045,0.9793926247288504,0.8901734104046243,0.8651685393258427,0.9166666666666666,0.9023468575974544,0.8788134537958133,0.8020833333333334
360,5,355,715,48,181,48,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9815195071868584,0.8875,0.8875,0.8875,0.8774328859060403,0.8774328859060403,0.797752808988764,0.9783080260303688,0.8837209302325582,0.8636363636363636,0.9047619047619048,0.8904420956926924,0.8717663421418637,0.7916666666666666
360,5,355,715,49,181,49,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9794661190965092,0.875,0.875,0.875,0.8638143176733781,0.8638143176733781,0.7777777777777778,0.9783080260303688,0.8837209302325582,0.8636363636363636,0.9047619047619048,0.8904420956926924,0.8717663421418637,0.7916666666666666
360,5,355,715,50,181,50,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9815195071868584,0.8888888888888888,0.8780487804878049,0.9,0.8888143176733783,0.8788121768462963,0.8,0.9783080260303688,0.8850574712643678,0.8555555555555555,0.9166666666666666,0.9011535401750196,0.8730971453739643,0.7938144329896907
360,5,355,715,51,181,51,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9804928131416838,0.8848484848484849,0.8588235294117647,0.9125,0.8990771812080536,0.8742029773638774,0.7934782608695652,0.9761388286334056,0.872093023255814,0.8522727272727273,0.8928571428571429,0.877344016365496,0.8589429763560501,0.7731958762886598
360,5,355,715,52,181,52,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9804928131416838,0.8819875776397516,0.8765432098765432,0.8875,0.8763143176733781,0.8713556800645098,0.7888888888888889,0.975054229934924,0.8670520231213873,0.8426966292134831,0.8928571428571429,0.8761506989430616,0.853300496700195,0.7653061224489796
360,5,355,715,53,181,53,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9804928131416838,0.8819875776397516,0.8765432098765432,0.8875,0.8763143176733781,0.8713556800645098,0.7888888888888889,0.975054229934924,0.8670520231213873,0.8426966292134831,0.8928571428571429,0.8761506989430616,0.853300496700195,0.7653061224489796
360,5,355,715,54,181,54,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9825462012320328,0.896969696969697,0.8705882352941177,0.925,0.912695749440716,0.8874447692203113,0.8131868131868132,0.975054229934924,0.8670520231213873,0.8426966292134831,0.8928571428571429,0.8761506989430616,0.853300496700195,0.7653061224489796
360,5,355,715,55,181,55,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9815195071868584,0.8888888888888888,0.8780487804878049,0.9,0.8888143176733783,0.8788121768462963,0.8,0.975054229934924,0.8654970760233918,0.8505747126436781,0.8809523809523809,0.8654392544607341,0.8517539812368049,0.7628865979381443
360,5,355,715,56,181,56,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9804928131416838,0.8819875776397516,0.8765432098765432,0.8875,0.8763143176733781,0.8713556800645098,0.7888888888888889,0.9793926247288504,0.8875739644970414,0.8823529411764706,0.8928571428571429,0.8809239686327992,0.8762311181449505,0.7978723404255319
