method,counterfactual_cutoff,sample_id,forecast_lag_min,window_size,top_percent,top_percent_label,features_to_vary_count,features_to_vary_fraction,original_label,original_label_name,desired_counterfactual_label,desired_counterfactual_label_name,counterfactual_predicted_label,counterfactual_predicted_label_name,counterfactual_found,counterfactual_reconstruction_mse,counterfactual_reconstruction_mae,changed_feature_count,selected_feature_count,changed_feature_fraction,dice_proximity_loss,dice_proximity_score,dice_sparsity_loss,dice_sparsity_score,dice_plausibility_distance,dice_plausibility_score,dice_nearest_train_index,dice_nearest_train_label,dice_diversity_dpp,dice_diversity_avg_dist,dice_diversity_pair_count,dice_mean_pairwise_distance,error
box_cox,0-all,2003-07-10_12-54,5,180,0.1,10%,146,1.0,0,0,1,1,1,1,True,0.009039994329214096,0.04853116720914841,46,146,0.3150684931506849,9.362936109261078,0.09649774826907664,0.3150684931506849,0.6849315068493151,10.101892530084108,0.09007473250981146,700,1,1.0001005130305063,0.9988987241968288,4950,1464.615092630905,
box_cox,0-all,2003-07-12_17-57,5,180,0.1,10%,146,1.0,0,0,1,1,0,0,True,0.014990294352173805,0.06657026708126068,44,146,0.3013698630136986,7.570681191726373,0.11667684022191151,0.3013698630136986,0.6986301369863014,8.013587672264004,0.11094361494670227,514,0,1.0001005130305063,0.9988987241968288,4950,1464.615092630905,
box_cox,0-all,2003-07-13_23-58,5,180,0.1,10%,146,1.0,0,0,1,1,1,1,True,0.01009286567568779,0.05320179834961891,55,146,0.3767123287671233,10.363829985965813,0.08799850061422843,0.3767123287671233,0.6232876712328768,10.324304943741453,0.08830564038746282,519,1,1.0001005130305063,0.9988987241968288,4950,1464.615092630905,
box_cox,0-all,2003-07-17_07-17,5,180,0.1,10%,146,1.0,0,0,1,1,0,0,True,0.007653733249753714,0.049223124980926514,41,146,0.2808219178082192,6.326538844670737,0.13649009732984513,0.2808219178082192,0.7191780821917808,6.877620763396392,0.12694188131606066,458,0,1.0001005130305063,0.9988987241968288,4950,1464.615092630905,
box_cox,0-all,2003-05-28_11-40,5,180,0.1,10%,146,1.0,1,1,0,0,0,0,True,4.580904006958008,0.7441080808639526,2,146,0.0136986301369863,0.036642520502085864,0.9646526938868584,0.0136986301369863,0.9863013698630136,0.7317504218134468,0.5774504151428613,928,0,1.0001005130305063,0.9988987241968288,4950,1464.615092630905,
box_cox,0-all,2003-05-30_16-25,5,180,0.1,10%,146,1.0,1,1,0,0,0,0,True,0.013739337213337421,0.04616861790418625,10,146,0.0684931506849315,0.3012950275625077,0.768465243330045,0.0684931506849315,0.9315068493150684,2.41207267440424,0.29307699320167724,158,0,1.0001005130305063,0.9988987241968288,4950,1464.615092630905,
box_cox,0-all,2003-06-18_12-15,5,180,0.1,10%,146,1.0,1,1,0,0,0,0,True,0.00019758217968046665,0.004138899967074394,2,146,0.0136986301369863,0.03912360707634562,0.9623494194435416,0.0136986301369863,0.9863013698630136,0.8507340784429837,0.5403261395831088,28,0,1.0001005130305063,0.9988987241968288,4950,1464.615092630905,
box_cox,0-all,2003-10-26_06-25,5,180,0.1,10%,146,1.0,1,1,0,0,0,0,True,0.10976192355155945,0.1377420574426651,44,146,0.3013698630136986,2.575621974328039,0.2796716227777206,0.3013698630136986,0.6986301369863014,3.5439792571377327,0.22007142713717034,974,0,1.0001005130305063,0.9988987241968288,4950,1464.615092630905,
box_cox,0-all,2003-10-28_00-15,5,180,0.1,10%,146,1.0,1,1,0,0,0,0,True,0.7022815346717834,0.3157777488231659,13,146,0.08904109589041095,0.26777692045301243,0.7887823037847004,0.08904109589041095,0.910958904109589,2.4703688186034305,0.288153810810929,738,0,1.0001005130305063,0.9988987241968288,4950,1464.615092630905,
box_cox,0-all,2003-10-29_09-45,5,180,0.1,10%,146,1.0,1,1,0,0,0,0,True,121796.953125,120.90565490722656,2,146,0.0136986301369863,0.06936961392423008,0.9351303674417428,0.0136986301369863,0.9863013698630136,2.224679814782409,0.3101083076266525,671,0,1.0001005130305063,0.9988987241968288,4950,1464.615092630905,
box_cox,0-all,2003-12-02_01-25,5,180,0.1,10%,146,1.0,1,1,0,0,0,0,True,6.404518353519961e-05,0.0014485623687505722,2,146,0.0136986301369863,0.015000913903289578,0.9852207877866809,0.0136986301369863,0.9863013698630136,1.6020407588717815,0.3843137339760926,208,0,1.0001005130305063,0.9988987241968288,4950,1464.615092630905,
box_cox,0-all,2004-04-10_23-35,5,180,0.1,10%,146,1.0,1,1,0,0,0,0,True,6.169174671173096,0.856978178024292,2,146,0.0136986301369863,0.020893338899116497,0.9795342587682597,0.0136986301369863,0.9863013698630136,1.0353447253160801,0.4913172631455363,48,0,1.0001005130305063,0.9988987241968288,4950,1464.615092630905,
box_cox,0-all,2004-07-25_06-25,5,180,0.1,10%,146,1.0,1,1,0,0,0,0,True,0.003714003600180149,0.011675079353153706,6,146,0.0410958904109589,0.15780357799183925,0.8637043614379368,0.0410958904109589,0.9589041095890412,1.6889702989279216,0.37188956694638636,158,0,1.0001005130305063,0.9988987241968288,4950,1464.615092630905,
box_cox,0-all,2004-09-19_07-25,5,180,0.1,10%,146,1.0,1,1,0,0,0,0,True,0.0783395916223526,0.10238028317689896,23,146,0.15753424657534246,1.1850745246329542,0.4576502946360507,0.15753424657534246,0.8424657534246576,2.0096678058959188,0.33226258327945923,158,0,1.0001005130305063,0.9988987241968288,4950,1464.615092630905,
box_cox,0-all,2004-10-31_18-55,5,180,0.1,10%,146,1.0,1,1,0,0,0,0,True,0.28084924817085266,0.21258769929409027,35,146,0.23972602739726026,1.862452340299193,0.3493507947438792,0.23972602739726026,0.7602739726027398,2.789585037379183,0.2638811347776442,158,0,1.0001005130305063,0.9988987241968288,4950,1464.615092630905,
box_cox,0-all,2004-11-08_05-20,5,180,0.1,10%,146,1.0,1,1,0,0,0,0,True,348.5467529296875,6.392171382904053,1,146,0.00684931506849315,0.06394420466293817,0.9398989116321227,0.00684931506849315,0.9931506849315068,1.186100712526632,0.45743546684280106,647,0,1.0001005130305063,0.9988987241968288,4950,1464.615092630905,
