window_size,forecast_lag_min,coeff_setting,max_available_coeffs,effective_coeffs,val_mse,val_mae,test_mse,test_mae
90,0,5,46,5,0.18705940149556782,0.027466951070948653,0.9994270163018654,0.03589469116259583
90,5,all,46,46,2.3084905616007747e-14,2.0677016718256688e-08,2.6245244081585893e-12,4.621424550876764e-08
90,5,100,46,46,2.3084905616007747e-14,2.0677016718256688e-08,2.6245244081585893e-12,4.621424550876764e-08
90,5,50,46,46,2.3084905616007747e-14,2.0677016718256688e-08,2.6245244081585893e-12,4.621424550876764e-08
90,5,25,46,25,0.002571959396451386,0.003632994504998063,0.059226027731754304,0.005741619723334616
90,5,10,46,10,0.022574601269459094,0.010478252846881682,0.29788010085584843,0.01569226086495398
90,5,5,46,5,0.16790706303698982,0.02636762146268936,0.9687885208138283,0.03456794527503763
90,10,all,46,46,2.4069747379865647e-14,2.0591548666045507e-08,2.3274681179619003e-12,4.385283319916071e-08
90,10,100,46,46,2.4069747379865647e-14,2.0591548666045507e-08,2.3274681179619003e-12,4.385283319916071e-08
90,10,50,46,46,2.4069747379865647e-14,2.0591548666045507e-08,2.3274681179619003e-12,4.385283319916071e-08
90,10,25,46,25,0.003982740054351885,0.0035729928321634585,0.08634228641713873,0.005819985186603995
90,10,10,46,10,0.031937663576195666,0.010447666461932171,0.42345432995613197,0.016050604898352756
90,10,5,46,5,0.17825793468118986,0.026190763840671472,1.2442543151244339,0.03595568793990555
90,60,all,46,46,2.5302195989714686e-14,1.9632783002332922e-08,2.1104951901720026e-12,4.359367379324655e-08
90,60,100,46,46,2.5302195989714686e-14,1.9632783002332922e-08,2.1104951901720026e-12,4.359367379324655e-08
90,60,50,46,46,2.5302195989714686e-14,1.9632783002332922e-08,2.1104951901720026e-12,4.359367379324655e-08
90,60,25,46,25,0.005260450730565832,0.003399942882322088,0.02839358897181453,0.004709509747994341
90,60,10,46,10,0.03640433270580944,0.010176526392889873,0.17319881256771733,0.013501709129014107
90,60,5,46,5,0.2201187035685401,0.025712534171256834,0.9605654595476284,0.03255160150292485
45,0,all,23,23,2.0644958050449486e-14,1.878950321250726e-08,1.4584855199657077e-12,3.7690642942662796e-08
45,0,100,23,23,2.0644958050449486e-14,1.878950321250726e-08,1.4584855199657077e-12,3.7690642942662796e-08
45,0,50,23,23,2.0644958050449486e-14,1.878950321250726e-08,1.4584855199657077e-12,3.7690642942662796e-08
45,0,25,23,23,2.0644958050449486e-14,1.878950321250726e-08,1.4584855199657077e-12,3.7690642942662796e-08
45,0,10,23,10,0.005047504404331878,0.004750499604647237,0.07293671812515301,0.0069284355647214755
45,0,5,23,5,0.030771366286573308,0.012568383980280928,0.29689278622963095,0.0173806938039515
45,5,all,23,23,2.07255739402431e-14,1.8493069610680544e-08,1.8034063396990314e-12,3.9592366726654305e-08
45,5,100,23,23,2.07255739402431e-14,1.8493069610680544e-08,1.8034063396990314e-12,3.9592366726654305e-08
45,5,50,23,23,2.07255739402431e-14,1.8493069610680544e-08,1.8034063396990314e-12,3.9592366726654305e-08
45,5,25,23,23,2.07255739402431e-14,1.8493069610680544e-08,1.8034063396990314e-12,3.9592366726654305e-08
45,5,10,23,10,0.003281221343111448,0.004401009216537923,0.06231953838542894,0.006575380732953903
45,5,5,23,5,0.02413619074752413,0.011855538260349463,0.27251006972722447,0.016861945008543114
45,10,all,23,23,2.363525593450501e-14,1.850427206032608e-08,1.925809060753716e-12,3.9026742826562947e-08
45,10,100,23,23,2.363525593450501e-14,1.850427206032608e-08,1.925809060753716e-12,3.9026742826562947e-08
45,10,50,23,23,2.363525593450501e-14,1.850427206032608e-08,1.925809060753716e-12,3.9026742826562947e-08
45,10,25,23,23,2.363525593450501e-14,1.850427206032608e-08,1.925809060753716e-12,3.9026742826562947e-08
45,10,10,23,10,0.016815341557583584,0.004648385996247343,0.12329438448109951,0.007445079196990782
45,10,5,23,5,0.06364502915346085,0.011998634656191085,0.43048539991326146,0.018141625465700608
45,60,all,23,23,2.2394967061353264e-14,1.745670834944127e-08,2.3057291798523877e-12,4.080480208748823e-08
45,60,100,23,23,2.2394967061353264e-14,1.745670834944127e-08,2.3057291798523877e-12,4.080480208748823e-08
45,60,50,23,23,2.2394967061353264e-14,1.745670834944127e-08,2.3057291798523877e-12,4.080480208748823e-08
45,60,25,23,23,2.2394967061353264e-14,1.745670834944127e-08,2.3057291798523877e-12,4.080480208748823e-08
45,60,10,23,10,0.007284905954109795,0.0043184815432380525,0.09532375114567677,0.006489363949659566
45,60,5,23,5,0.040759651689377126,0.011782780540726703,0.34965024872943434,0.016664069965254245
