forecast_lag_min,window_size,top_percent,top_percent_label,input_start,input_end,total_features,selected_feature_count,selected_feature_fraction,feature_count_cumimp_gt50,cumimp_reached_at_gt50,train_accuracy,train_f1,train_precision,train_recall,train_tss,train_hss,train_css,val_accuracy,val_f1,val_precision,val_recall,val_tss,val_hss,val_css,test_accuracy,test_f1,test_precision,test_recall,test_tss,test_hss,test_css
5,90,0.5,50%,355,715,1472,736,0.5,19,0.5093518984032748,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9907597535934292,0.9461077844311377,0.9080459770114943,0.9875,0.9785514541387026,0.9410641530745337,0.8977272727272727,0.9902386117136659,0.9473684210526315,0.9310344827586207,0.9642857142857143,0.957125809751108,0.9419906883100541,0.9
5,90,1.0,100%,355,715,1472,1472,1.0,25,0.5086654487036132,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9907597535934292,0.9461077844311377,0.9080459770114943,0.9875,0.9785514541387026,0.9410641530745337,0.8977272727272727,0.9902386117136659,0.9473684210526315,0.9310344827586207,0.9642857142857143,0.957125809751108,0.9419906883100541,0.9
5,180,0.05,5%,355,715,1456,73,0.05013736263736264,16,0.5164113405891132,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9897330595482546,0.9390243902439024,0.9166666666666666,0.9625,0.9546700223713647,0.933422649969924,0.8850574712643678,0.9880694143167028,0.935672514619883,0.9195402298850575,0.9523809523809523,0.9440277304239117,0.9290997301567328,0.8791208791208791
5,180,0.1,10%,355,715,1456,146,0.10027472527472528,18,0.5050511545947854,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9907597535934292,0.9454545454545454,0.9176470588235294,0.975,0.9671700223713646,0.9404119366460472,0.896551724137931,0.9880694143167028,0.935672514619883,0.9195402298850575,0.9523809523809523,0.9440277304239117,0.9290997301567328,0.8791208791208791
5,180,0.15,15%,355,715,1456,219,0.1504120879120879,19,0.5071669987056378,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9907597535934292,0.9454545454545454,0.9176470588235294,0.975,0.9671700223713646,0.9404119366460472,0.896551724137931,0.9891540130151844,0.9411764705882353,0.9302325581395349,0.9523809523809523,0.9452210478463461,0.9352036657015151,0.8888888888888888
5,180,0.25,25%,355,715,1456,364,0.25,23,0.5110837044444826,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9907597535934292,0.9454545454545454,0.9176470588235294,0.975,0.9671700223713646,0.9404119366460472,0.896551724137931,0.9902386117136659,0.9473684210526315,0.9310344827586207,0.9642857142857143,0.957125809751108,0.9419906883100541,0.9
5,180,0.5,50%,355,715,1456,728,0.5,25,0.5055924796377881,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9917864476386037,0.9518072289156626,0.9186046511627907,0.9875,0.9796700223713648,0.9473243016684243,0.9080459770114943,0.9891540130151844,0.9418604651162791,0.9204545454545454,0.9642857142857143,0.9559324923286736,0.9358831710709319,0.8901098901098901
5,180,1.0,100%,355,715,1456,1456,1.0,27,0.5048654857763936,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9907597535934292,0.9454545454545454,0.9176470588235294,0.975,0.9671700223713646,0.9404119366460472,0.896551724137931,0.9902386117136659,0.9473684210526315,0.9310344827586207,0.9642857142857143,0.957125809751108,0.9419906883100541,0.9
5,360,0.05,5%,355,715,1448,73,0.05041436464088398,15,0.5011009022252184,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9774127310061602,0.8705882352941177,0.8222222222222222,0.925,0.9071029082774049,0.8582616748247123,0.7708333333333334,0.9772234273318872,0.8771929824561403,0.8620689655172413,0.8928571428571429,0.8785373337879305,0.8646449393901262,0.78125
5,360,0.1,10%,355,715,1448,145,0.10013812154696132,26,0.5124560937900667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9804928131416838,0.8875739644970414,0.8426966292134831,0.9375,0.9218400447427293,0.8769269648723781,0.7978723404255319,0.9837310195227765,0.9142857142857143,0.8791208791208791,0.9523809523809523,0.9392544607341744,0.9053141816488889,0.8421052631578947
5,360,0.15,15%,355,715,1448,218,0.1505524861878453,28,0.502474676589035,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9835728952772074,0.9047619047619048,0.8636363636363636,0.95,0.9365771812080537,0.895795442387932,0.8260869565217391,0.9859002169197397,0.9248554913294798,0.898876404494382,0.9523809523809523,0.9416410955790431,0.9170828894392407,0.8602150537634409
5,360,0.25,25%,355,715,1448,362,0.25,30,0.5031502633155217,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9835728952772074,0.9058823529411765,0.8555555555555555,0.9625,0.9479586129753916,0.8969175816906998,0.8279569892473119,0.9837310195227765,0.9152542372881356,0.8709677419354839,0.9642857142857143,0.9499659052165019,0.906281764586298,0.84375
5,360,0.5,50%,355,715,1448,724,0.5,35,0.5065972860570932,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9825462012320328,0.9005847953216374,0.8461538461538461,0.9625,0.9468400447427294,0.8910614892693133,0.8191489361702128,0.9848156182212582,0.9204545454545454,0.8804347826086957,0.9642857142857143,0.9511592226389363,0.9120804272013949,0.8526315789473684
5,360,1.0,100%,355,715,1448,1448,1.0,44,0.5015362868187574,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9845995893223819,0.9112426035502958,0.8651685393258427,0.9625,0.9490771812080538,0.9028370775308248,0.8369565217391305,0.9848156182212582,0.9204545454545454,0.8804347826086957,0.9642857142857143,0.9511592226389363,0.9120804272013949,0.8526315789473684
