forecast_lag_min,top_percent,top_percent_label,channel_name,channel_short_name,importance_total,importance_share_total,importance_mag,importance_phase,importance_share_mag,importance_share_phase,importance_total_norm_by_window_feature_count,importance_share_total_norm_by_window_feature_count,importance_mag_norm_by_window_feature_count,importance_phase_norm_by_window_feature_count,importance_share_mag_norm_by_window_feature_count,importance_share_phase_norm_by_window_feature_count,feature_count_total,feature_count_mag,feature_count_phase,unmatched_feature_count,val_css,test_css
5,0.15,15%,p7_flux_ic,p7,0.033117937546315174,0.033117937546315174,0.012252262966801819,0.02086567457951335,0.013036437998243113,0.34687928337553553,0.0008497908829830888,0.08754723777271743,0.0003055447260778242,0.0005442461569052644,0.03686570642697931,0.38364800690664275,152,64,88,0,0.8539325842696629,0.8387096774193549
5,0.15,15%,long,long_xray,0.012608773184574278,0.012608773184574278,0.0036040844658784474,0.00900468871869583,0.003834754755685738,0.14969753112261128,0.0005098799616731544,0.052528902267632384,0.00012268284126897464,0.0003871971204041796,0.01480238152989012,0.2729415754954282,99,33,66,0,0.8539325842696629,0.8387096774193549
5,0.25,25%,p3_flux_ic,p3,0.9215102039415103,0.9215102039415103,0.9040306088926164,0.017479595048893685,0.9630094519856854,0.28540768801456806,0.005781173393497027,0.8410151872083632,0.005669070046000246,0.00011210334749677932,0.9249402566933544,0.15049017428726563,616,436,180,0,0.8522727272727273,0.8387096774193549
5,0.25,25%,p5_flux_ic,p5,0.03136789693146086,0.03136789693146086,0.015506242717149453,0.015861654214311408,0.01651786803954651,0.2589898704592515,0.00038287855744715177,0.055699191107413365,0.00018952662099613123,0.00019335193645102027,0.030922320601430454,0.25956019391954654,327,172,155,0,0.8522727272727273,0.8387096774193549
5,0.25,25%,p7_flux_ic,p7,0.030496847645714822,0.030496847645714822,0.013282660756246208,0.01721418688946862,0.014149219871496435,0.28107409052848076,0.00040682513796635387,0.05918281571569978,0.00017661887922953832,0.0002302062587368155,0.028816350859294824,0.30903430426391176,298,130,168,0,0.8522727272727273,0.8387096774193549
5,0.25,25%,long,long_xray,0.016625051481314296,0.016625051481314296,0.005936184193915743,0.010688867287398554,0.006323460103271706,0.1745283509976996,0.0003031645234494694,0.04410280596852346,9.390469151470925e-05,0.00020925983193476036,0.01532107184592047,0.280915327529276,221,91,130,0,0.8522727272727273,0.8387096774193549
5,0.5,50%,p3_flux_ic,p3,0.9188481285595227,0.9188481285595227,0.8964966965647057,0.022351431994817265,0.9624661501792778,0.32609784565948874,0.005098341195294297,0.9025937237720485,0.004999399247338003,9.894194795629223e-05,0.9603599498351427,0.2234515537010368,921,522,399,0,0.8522727272727273,0.8404255319148937
5,0.5,50%,p5_flux_ic,p5,0.030712424901289392,0.030712424901289392,0.012778928300121123,0.01793349660116826,0.01371927634710128,0.26164205533402757,0.00020168441341725634,0.035705551817732877,8.614463726965925e-05,0.00011553977614759692,0.016547960151593644,0.26093626644439494,650,297,353,0,0.8522727272727273,0.8404255319148937
5,0.5,50%,p7_flux_ic,p7,0.03352904296156906,0.03352904296156906,0.014934366469462178,0.018594676492106846,0.016033324223400872,0.27128838752779677,0.00020550584401313575,0.03638208544691697,8.26201937331027e-05,0.000122885650280033,0.015870931922698645,0.2775262671679526,744,413,331,0,0.8522727272727273,0.8404255319148937
5,0.5,50%,long,long_xray,0.016910403577619113,0.016910403577619113,0.00724790606575556,0.009662497511863542,0.0077812492502199624,0.14097171147868692,0.0001430134695551971,0.02531863896330199,3.759158462311582e-05,0.00010542188493208122,0.007221158090564928,0.23808591268661575,609,403,206,0,0.8522727272727273,0.8404255319148937
