forecast_lag_min,top_percent,top_percent_label,windows_used,total_concat_features,global_total_features_before_selection,baseline_feature_count_cumimp_gt50,baseline_cumimp_reached_gt50,feature_count_cumimp_gt50,cumimp_reached_at_gt50,train_accuracy,train_f1,train_precision,train_recall,train_tss,train_hss,train_css,val_accuracy,val_f1,val_precision,val_recall,val_tss,val_hss,val_css,test_accuracy,test_f1,test_precision,test_recall,test_tss,test_hss,test_css,channel_unmatched_feature_count,window45_total_features,window45_selected_features,window90_total_features,window90_selected_features,window180_total_features,window180_selected_features,window360_total_features,window360_selected_features,importance_sum_p3,importance_share_p3,feature_count_p3,importance_sum_norm_p3,importance_share_norm_p3,importance_sum_p5,importance_share_p5,feature_count_p5,importance_sum_norm_p5,importance_share_norm_p5,importance_sum_p7,importance_share_p7,feature_count_p7,importance_sum_norm_p7,importance_share_norm_p7,importance_sum_long_xray,importance_share_long_xray,feature_count_long_xray,importance_sum_norm_long_xray,importance_share_norm_long_xray
15,0.5,50%,"45,90,180,360",2924,5848,61,0.5000712068137533,50,0.5035151187202017,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9753593429158111,0.8421052631578947,0.8888888888888888,0.8,0.7910514541387026,0.8287823743114966,0.7272727272727273,0.982646420824295,0.9036144578313253,0.9146341463414634,0.8928571428571429,0.8845039209001024,0.8940808179442259,0.8241758241758241,0,1472,1043,1472,858,1456,519,1448,504,0.8641633271597322,0.8641633271597322,947,0.004439797646821711,0.8438248880382674,0.0339212744921398,0.0339212744921398,587,0.00025366638219587954,0.04821165818418345,0.04560465876735931,0.04560465876735931,608,0.0002859872801984325,0.054354545835341245,0.0563107395807688,0.0563107395807688,782,0.0002820640949377921,0.053608907942208184
15,1.0,100%,"45,90,180,360",5848,5848,61,0.5000712068137533,61,0.5041995830171124,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.973305954825462,0.8289473684210527,0.875,0.7875,0.7774328859060402,0.8145142388374546,0.7078651685393258,0.9815618221258134,0.896969696969697,0.9135802469135802,0.8809523809523809,0.8725991589953404,0.8868482984652257,0.8131868131868132,0,1472,1472,1472,1472,1456,1456,1448,1448,0.8483936854309381,0.8483936854309378,1462,0.002324633708138123,0.8487151605615485,0.05048581052708777,0.050485810527087754,1462,0.00013810921617772113,0.050423163517312124,0.05121038644340438,0.051210386443404365,1462,0.000139890335319424,0.051073443521872645,0.04991011759856957,0.04991011759856956,1462,0.0001363701376883273,0.04978823239926636
30,0.05,5%,"45,90,180,360",293,5848,92,0.5017480029010295,42,0.5030416499459687,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9722792607802875,0.8163265306122449,0.8955223880597015,0.75,0.7421700223713645,0.8014615953736278,0.6896551724137931,0.9739696312364425,0.8536585365853658,0.875,0.8333333333333334,0.8214001591089897,0.8393821497009465,0.7446808510638298,0,1472,58,1472,68,1456,90,1448,77,0.826673761201648,0.826673761201648,200,0.01604452286316477,0.4344037592320382,0.07103071347123945,0.07103071347123945,36,0.00759685857597435,0.20568414230215776,0.04083473278930365,0.04083473278930365,27,0.0057046203383350575,0.15445199219065375,0.06146079253780917,0.06146079253780917,30,0.007588583898140412,0.2054601062751501
30,0.1,10%,"45,90,180,360",585,5848,92,0.5017480029010295,49,0.503700920096307,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.971252566735113,0.8082191780821918,0.8939393939393939,0.7375,0.7296700223713648,0.7928352222661116,0.6781609195402298,0.9739696312364425,0.8518518518518519,0.8846153846153846,0.8214285714285714,0.8106887146266621,0.8376045794804051,0.7419354838709677,0,1472,129,1472,133,1456,162,1448,161,0.797383860298821,0.797383860298821,298,0.010508665581686512,0.55518627806906,0.06863466463941151,0.06863466463941151,98,0.0027211064057811956,0.14375954072496872,0.06228521306602333,0.06228521306602333,93,0.0027165190321203794,0.14351718389202323,0.07169626199574415,0.07169626199574415,96,0.002981888578502293,0.1575369973139482
30,0.15,15%,"45,90,180,360",878,5848,92,0.5017480029010295,59,0.5032007158530531,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9702258726899384,0.8027210884353742,0.8805970149253731,0.7375,0.7285514541387026,0.7867550468827855,0.6704545454545454,0.9772234273318872,0.8711656441717791,0.8987341772151899,0.8452380952380952,0.8356915558586202,0.8586859736961187,0.7717391304347826,0,1472,195,1472,219,1456,224,1448,240,0.7811442116070089,0.7811442116070089,387,0.008010445919850421,0.6007746325999742,0.07917032776995907,0.07917032776995907,165,0.0018748964752478459,0.14061517328127024,0.06795091543367149,0.06795091543367149,166,0.0016433358914547153,0.12324838421048762,0.07173454518936079,0.07173454518936079,160,0.001804850602946882,0.13536180990826815
30,0.25,25%,"45,90,180,360",1462,5848,92,0.5017480029010295,58,0.5013286027338588,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9691991786447639,0.7945205479452054,0.8787878787878788,0.725,0.7160514541387024,0.7780377381422625,0.6590909090909091,0.9772234273318872,0.8711656441717791,0.8987341772151899,0.8452380952380952,0.8356915558586202,0.8586859736961187,0.7717391304347826,0,1472,337,1472,378,1456,369,1448,378,0.767701339077871,0.767701339077871,551,0.005594598104741851,0.6479850647482016,0.07992190795503082,0.07992190795503082,307,0.0010041096944275625,0.1162993432551423,0.06904582465998725,0.06904582465998725,301,0.0009281774927334917,0.10750462168443595,0.08333092830711052,0.08333092830711052,303,0.0011069527532931503,0.12821097031222042
30,0.5,50%,"45,90,180,360",2924,5848,92,0.5017480029010295,72,0.5024899291703893,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9671457905544147,0.7777777777777778,0.875,0.7,0.6910514541387025,0.760275658380507,0.6363636363636364,0.9793926247288504,0.8834355828220859,0.9113924050632911,0.8571428571428571,0.8487896351858164,0.8721444523917264,0.7912087912087912,0,1472,784,1472,806,1456,638,1448,696,0.7521760778283706,0.7521760778283706,842,0.0037024475893169227,0.724353928890978,0.08891471522422349,0.08891471522422349,729,0.000469871326315078,0.09192652511047009,0.06870596902144321,0.06870596902144321,668,0.0004145891707697149,0.0811110184487718,0.0902032379259642,0.0902032379259642,685,0.0005244710911580105,0.10260852754978032
30,1.0,100%,"45,90,180,360",5848,5848,92,0.5017480029010295,94,0.5021481763385168,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9671457905544147,0.7777777777777778,0.875,0.7,0.6910514541387025,0.760275658380507,0.6363636363636364,0.9761388286334056,0.8658536585365854,0.8875,0.8452380952380952,0.8344982384361859,0.8527669705592009,0.7634408602150538,0,1472,1472,1472,1472,1456,1456,1448,1448,0.7428852977263974,0.7428852977263974,1462,0.002037366721909143,0.743519870619968,0.08850878592405126,0.08850878592405126,1462,0.0002418218322836626,0.08825084631015714,0.07671049423917795,0.07671049423917795,1462,0.0002097154880349599,0.07653390568029043,0.09189542211037344,0.09189542211037344,1462,0.0002512604139155909,0.09169537738958462
60,0.05,5%,"45,90,180,360",293,5848,143,0.5005984152429985,53,0.5000215129164085,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9527720739219713,0.684931506849315,0.7575757575757576,0.625,0.6071029082774049,0.6596578651514691,0.5208333333333334,0.955531453362256,0.7421383647798742,0.7866666666666666,0.7023809523809523,0.6832878736220025,0.717891311810624,0.59,0,1472,51,1472,77,1456,81,1448,84,0.8206244530164502,0.8206244530164502,225,0.014383207276269242,0.3141031524831962,0.041080348129677126,0.041080348129677126,19,0.008369223301285261,0.1827686532131649,0.05170927811182998,0.05170927811182998,17,0.0124560814898795,0.2720182215557678,0.08658592074204267,0.08658592074204267,32,0.010582837565832455,0.2311099727478713
60,0.1,10%,"45,90,180,360",585,5848,143,0.5005984152429985,71,0.5006127240353231,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9517453798767967,0.6758620689655173,0.7538461538461538,0.6125,0.5946029082774049,0.6500955438355117,0.5104166666666666,0.9566160520607375,0.7468354430379747,0.7972972972972973,0.7023809523809523,0.6844811910444368,0.7232145537510132,0.5959595959595959,0,1472,122,1472,162,1456,162,1448,139,0.7695278228421163,0.7695278228421163,336,0.00897962379930435,0.43924661016388966,0.07813671533401087,0.07813671533401087,98,0.003191253889168161,0.156103137984248,0.0610165602350749,0.0610165602350749,57,0.004400820413245261,0.21527020414906264,0.09131890158879791,0.09131890158879791,94,0.0038715417355889253,0.18938004770280017
