window_size,forecast_lag_min,input_start,input_end,max_available_coeffs,n_slices,channels,feature_block_size,model_name,baseline_total_features,baseline_cumimp95_features,baseline_cumimp95_fraction,baseline_cumimp95_reached,cumulative_importance_threshold,candidate_target_fraction,selected_feature_count,selected_feature_fraction,selected_equivalent_k,train_accuracy,train_f1,train_precision,train_recall,train_tss,train_hss,train_css,val_accuracy,val_f1,val_precision,val_recall,val_tss,val_hss,val_css,test_accuracy,test_f1,test_precision,test_recall,test_tss,test_hss,test_css
360,120,240,600,181,1,4,8,RandomForestClassifier,1448,1027,0.7092541436464088,0.9502185388211352,0.95,0.609254,883,0.6098066298342542,111,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9373716632443532,0.47863247863247865,0.7567567567567568,0.35,0.3399328859060402,0.45006386641737167,0.3146067415730337,0.93058568329718,0.5492957746478874,0.6724137931034483,0.4642857142857143,0.44161268325946135,0.5130549595642845,0.3786407766990291
360,120,240,600,181,1,4,8,RandomForestClassifier,1448,1027,0.7092541436464088,0.9502185388211352,0.95,0.659254,955,0.6595303867403315,120,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9342915811088296,0.4576271186440678,0.7105263157894737,0.3375,0.32519574944071605,0.42733252489618934,0.2967032967032967,0.9316702819956616,0.5531914893617021,0.6842105263157895,0.4642857142857143,0.4428060006818957,0.5176622988391211,0.38235294117647056
360,120,240,600,181,1,4,8,RandomForestClassifier,1448,1027,0.7092541436464088,0.9502185388211352,0.95,0.709254,1027,0.7092541436464088,129,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9363449691991786,0.48333333333333334,0.725,0.3625,0.35019574944071596,0.4534033309196235,0.31868131868131866,0.9338394793926247,0.5673758865248227,0.7017543859649122,0.47619047619047616,0.4559040800090919,0.5329746068124823,0.39603960396039606
360,120,240,600,181,1,4,8,RandomForestClassifier,1448,1027,0.7092541436464088,0.9502185388211352,0.95,0.759254,1100,0.7596685082872928,138,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9373716632443532,0.48739495798319327,0.7435897435897436,0.3625,0.3513143176733782,0.4582277095909398,0.32222222222222224,0.9295010845986985,0.5390070921985816,0.6666666666666666,0.4523809523809524,0.4297079213546995,0.5023499908657599,0.36893203883495146
360,120,240,600,181,1,4,8,RandomForestClassifier,1448,1027,0.7092541436464088,0.9502185388211352,0.95,0.809254,1172,0.8093922651933702,147,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9373716632443532,0.49586776859504134,0.7317073170731707,0.375,0.3626957494407159,0.4661527126350028,0.32967032967032966,0.9316702819956616,0.5531914893617021,0.6842105263157895,0.4642857142857143,0.4428060006818957,0.5176622988391211,0.38235294117647056
180,5,355,715,91,2,4,16,RandomForestClassifier,1456,368,0.25274725274725274,0.9500785578278259,0.95,0.152747,223,0.15315934065934067,14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9856262833675564,0.9146341463414634,0.8928571428571429,0.9375,0.9274328859060401,0.9067917099578936,0.8426966292134831,0.9815618221258134,0.9017341040462428,0.8764044943820225,0.9285714285714286,0.9154449369246507,0.8915699323436225,0.8210526315789474
180,5,355,715,91,2,4,16,RandomForestClassifier,1456,368,0.25274725274725274,0.9500785578278259,0.95,0.202747,296,0.2032967032967033,19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9845995893223819,0.9090909090909091,0.8823529411764706,0.9375,0.9263143176733781,0.9006865610767453,0.8333333333333334,0.982646420824295,0.9080459770114943,0.8777777777777778,0.9404761904761905,0.9273496988294125,0.8984777162991714,0.8315789473684211
180,5,355,715,91,2,4,16,RandomForestClassifier,1456,368,0.25274725274725274,0.9500785578278259,0.95,0.252747,368,0.25274725274725274,23,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9845995893223819,0.9090909090909091,0.8823529411764706,0.9375,0.9263143176733781,0.9006865610767453,0.8333333333333334,0.9815618221258134,0.9017341040462428,0.8764044943820225,0.9285714285714286,0.9154449369246507,0.8915699323436225,0.8210526315789474
180,5,355,715,91,2,4,16,RandomForestClassifier,1456,368,0.25274725274725274,0.9500785578278259,0.95,0.302747,441,0.30288461538461536,28,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9825462012320328,0.8957055214723927,0.8795180722891566,0.9125,0.901314317673378,0.8861852325373586,0.8111111111111111,0.9815618221258134,0.9017341040462428,0.8764044943820225,0.9285714285714286,0.9154449369246507,0.8915699323436225,0.8210526315789474
180,5,355,715,91,2,4,16,RandomForestClassifier,1456,368,0.25274725274725274,0.9500785578278259,0.95,0.352747,514,0.35302197802197804,33,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9856262833675564,0.9146341463414634,0.8928571428571429,0.9375,0.9274328859060401,0.9067917099578936,0.8426966292134831,0.9815618221258134,0.9017341040462428,0.8764044943820225,0.9285714285714286,0.9154449369246507,0.8915699323436225,0.8210526315789474
180,15,345,705,91,2,4,16,RandomForestClassifier,1456,560,0.38461538461538464,0.9500525641470493,0.95,0.284615,415,0.2850274725274725,26,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9743326488706365,0.8366013071895425,0.8767123287671232,0.8,0.7899328859060404,0.8227053632537753,0.7191011235955056,0.9783080260303688,0.8780487804878049,0.9,0.8571428571428571,0.8475963177633821,0.8661517914174555,0.782608695652174
