forecast_lag_min,top_percent,top_percent_label,windows_used,total_concat_features,feature_count_cumimp_gt50,cumimp_reached_at_gt50,train_accuracy,train_f1,train_precision,train_recall,train_tss,train_hss,train_css,val_accuracy,val_f1,val_precision,val_recall,val_tss,val_hss,val_css,test_accuracy,test_f1,test_precision,test_recall,test_tss,test_hss,test_css,window45_total_features,window45_selected_features,window90_total_features,window90_selected_features,window180_total_features,window180_selected_features,window360_total_features,window360_selected_features
30,0.05,5%,"45,90,180,360",294,36,0.5024538991124541,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9681724845995893,0.7862068965517242,0.8769230769230769,0.7125,0.7035514541387025,0.7692119544446993,0.6477272727272727,0.9718004338394793,0.8395061728395061,0.8717948717948718,0.8095238095238095,0.7975906352994659,0.8240716277704389,0.723404255319149,1472,74,1472,74,1456,73,1448,73
30,0.1,10%,"45,90,180,360",587,51,0.502677399553157,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9681724845995893,0.7862068965517242,0.8769230769230769,0.7125,0.7035514541387025,0.7692119544446993,0.6477272727272727,0.9739696312364425,0.8536585365853658,0.875,0.8333333333333334,0.8214001591089897,0.8393821497009465,0.7446808510638298,1472,148,1472,148,1456,146,1448,145
30,0.15,15%,"45,90,180,360",879,56,0.5010879573649427,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9691991786447639,0.7945205479452054,0.8787878787878788,0.725,0.7160514541387024,0.7780377381422625,0.6590909090909091,0.9761388286334056,0.8641975308641975,0.8974358974358975,0.8333333333333334,0.8237867939538583,0.8511375311903714,0.7608695652173914,1472,221,1472,221,1456,219,1448,218
30,0.2,20%,"45,90,180,360",1172,55,0.5008111637928413,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9681724845995893,0.7862068965517242,0.8769230769230769,0.7125,0.7035514541387025,0.7692119544446993,0.6477272727272727,0.9739696312364425,0.8518518518518519,0.8846153846153846,0.8214285714285714,0.8106887146266621,0.8376045794804051,0.7419354838709677,1472,295,1472,295,1456,292,1448,290
30,0.25,25%,"45,90,180,360",1462,57,0.5023017704553364,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.971252566735113,0.8108108108108109,0.8823529411764706,0.75,0.7410514541387023,0.7953658682994177,0.6818181818181818,0.9750542299349241,0.8588957055214724,0.8860759493670886,0.8333333333333334,0.822593476531424,0.8452274950005109,0.7526881720430108,1472,368,1472,368,1456,364,1448,362
60,0.05,5%,"45,90,180,360",294,48,0.5018652294377226,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9537987679671458,0.697986577181208,0.7536231884057971,0.65,0.6309843400447428,0.6731202362662768,0.5360824742268041,0.9522776572668112,0.7283950617283951,0.7564102564102564,0.7023809523809523,0.6797079213546993,0.7022750623807427,0.5728155339805825,1472,74,1472,74,1456,73,1448,73
60,0.1,10%,"45,90,180,360",587,74,0.5013361291097628,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9517453798767967,0.6758620689655173,0.7538461538461538,0.6125,0.5946029082774049,0.6500955438355117,0.5104166666666666,0.9533622559652929,0.7261146496815286,0.7808219178082192,0.6785714285714286,0.6594783498124788,0.7007623216846555,0.57,1472,148,1472,148,1456,146,1448,145
60,0.15,15%,"45,90,180,360",879,80,0.5024225049699647,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9527720739219713,0.684931506849315,0.7575757575757576,0.625,0.6071029082774049,0.6596578651514691,0.5208333333333334,0.9566160520607375,0.75,0.7894736842105263,0.7142857142857143,0.6951926355267646,0.7263120398955117,0.6,1472,221,1472,221,1456,219,1448,218
60,0.2,20%,"45,90,180,360",1172,95,0.5001832565501332,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9507186858316222,0.6712328767123288,0.7424242424242424,0.6125,0.5934843400447427,0.64486038102762,0.5051546391752577,0.9544468546637744,0.7407407407407407,0.7692307692307693,0.7142857142857143,0.6928060006818957,0.7158080140907089,0.5882352941176471,1472,295,1472,295,1456,292,1448,290
60,0.25,25%,"45,90,180,360",1462,98,0.5015315586937734,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9517453798767967,0.6758620689655173,0.7538461538461538,0.6125,0.5946029082774049,0.6500955438355117,0.5104166666666666,0.9544468546637744,0.7407407407407407,0.7692307692307693,0.7142857142857143,0.6928060006818957,0.7158080140907089,0.5882352941176471,1472,368,1472,368,1456,364,1448,362
120,0.05,5%,"45,90,180,360",294,63,0.5003573280042292,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9353182751540041,0.5039370078740157,0.6808510638297872,0.4,0.3832214765100672,0.4718277126478335,0.3368421052631579,0.9327548806941431,0.5571428571428572,0.6964285714285714,0.4642857142857143,0.44399931810433,0.5223276957015843,0.38613861386138615,1472,74,1472,74,1456,73,1448,73
120,0.1,10%,"45,90,180,360",587,107,0.5020083856294701,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9353182751540041,0.5039370078740157,0.6808510638297872,0.4,0.3832214765100672,0.4718277126478335,0.3368421052631579,0.9316702819956616,0.5531914893617021,0.6842105263157895,0.4642857142857143,0.4428060006818957,0.5176622988391211,0.38235294117647056,1472,148,1472,148,1456,146,1448,145
120,0.15,15%,"45,90,180,360",879,139,0.500084844808768,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9383983572895277,0.5384615384615384,0.7,0.4375,0.4207214765100671,0.5073343449671219,0.3684210526315789,0.9338394793926247,0.5734265734265734,0.6949152542372882,0.4880952380952381,0.4666155244914194,0.5387504715665852,0.4019607843137255,1472,221,1472,221,1456,219,1448,218
120,0.2,20%,"45,90,180,360",1172,159,0.5004783685529285,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9383983572895277,0.5384615384615384,0.7,0.4375,0.4207214765100671,0.5073343449671219,0.3684210526315789,0.9327548806941431,0.5633802816901409,0.6896551724137931,0.47619047619047616,0.45471076258665755,0.5282719920779007,0.39215686274509803,1472,295,1472,295,1456,292,1448,290
120,0.25,25%,"45,90,180,360",1462,174,0.5010622618653304,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9383983572895277,0.53125,0.7083333333333334,0.425,0.40934004474272934,0.5004786652078774,0.3617021276595745,0.9327548806941431,0.5633802816901409,0.6896551724137931,0.47619047619047616,0.45471076258665755,0.5282719920779007,0.39215686274509803,1472,368,1472,368,1456,364,1448,362
